identifier	question
WB77	Yes[] No[] NA[] Have the TORs as well as composition for the independent Panel of Experts( POE) been reviewed and approved by the Bank?
WB77	Yes[] No[] NA[] If yes, then did the Regional Environment Unit or Practice Manager( PM) review and approve the EA report?
WB77	Yes[] No[] NA[] If yes, then did the Regional unit responsible for safeguards or Practice Manager review the plan?
WB77	Yes[] No[] NA[] Is a separate PMP required?
WB77	Yes[] No[] NA[] Is physical displacement/ relocation expected?
WB77	Yes[] No[] NA[] OP 4.09- Pest Management Does the EA adequately address the pest management issues?
WB77	Yes[] No[] NA[] OP/ BP 4.04- Natural Habitats Would the project result in any significant conversion or degradation of critical natural habitats?
WB77	Yes[] No[] NA[] The World Bank Policy on Disclosure of Information Have relevant safeguard policies documents been sent to the World Bank''s Infoshop?
WB23	Are PMP requirements included in project design?If yes, does the project team include a Pest Management Specialist?
WB23	No Is this a Transferred project?
WB23	SAFEGUARD POLICIES THAT MIGHT APPLY Safeguard Policies Triggered?
WB23	Yes x No[] NA[] If yes, has the PMP been reviewed and approved by a safeguards specialist or PM?
WB23	Yes x No[] NA[] Is a separate PMP required?
WB23	Yes[ X] No[] NA[] Have costs related to safeguard policy measures been included in the project cost?
WB23	Yes[] No x NA[] Does the project design include satisfactory measures to overcome these constraints?
WB23	Yes[] No x NA[] If yes, then did the Regional Environment Unit or Practice Manager( PM) review and approve the EA report?
WB23	Yes[] No x NA[] If yes, then did the Regional unit responsible for safeguards or Practice Manager review the plan?
WB23	Yes[] No x TBD[] Is economic displacement expected?
WB23	Yes[] No[] NA x Are the cost and the accountabilities for the EMP incorporated in the credit/ loan?
WB23	Yes[] No[] NA x Does the project finance commercial harvesting, and if so, does it include provisions for certification system?
WB23	Yes[] No[] NA x Is physical displacement/ relocation expected?
WB23	Yes[] No[] NA x PHCompliance OP 4.09- Pest Management Does the EA adequately address the pest management issues?
WB50	Are PMP requirements included in project design?
WB50	If yes, does the project team include a Pest Management Specialist?
WB50	NA Does the project design include satisfactory measures to overcome these constraints?
WB50	NA Does the project finance commercial harvesting, and if so, does it include provisions for certification system?
WB50	NA OPS_ PCR_C OM P_TA BLE OP/ BP 4.11- Physical Cultural Resources Does the EA include adequate measures related to cultural property?
WB50	No If yes, has the PMP been reviewed and approved by a safeguards specialist or PM?
WB50	No OPS_ PM_C OM P_TA BLE OP 4.09- Pest Management Does the EA adequately address the pest management issues?
WB50	Yes Are the cost and the accountabilities for the EMP incorporated in the credit/ loan?
WB50	Yes Does the Monitoring and Evaluation system of the project include the monitoring of safeguard impacts and measures related to safeguard policies?
WB50	Yes Does the credit/ loan incorporate mechanisms to mitigate the potential adverse impacts on cultural property?
WB50	Yes Have costs related to safeguard policy measures been included in the project cost?
WB50	Yes Have satisfactory implementation arrangements been agreed with the borrower and the same been adequately reflected in the project legal documents?
WB50	Yes If yes, then did the Regional Environment Unit or Practice Manager( PM) review and approve the EA report?
WB50	Yes If yes, then did the Regional unit responsible for safeguards or Practice Manager review the plan?
WB50	Yes Is a separate PMP required?
WB9	Are PMP requirements included in project design?
WB9	If yes, does the project team include a Pest Management Specialist?
WB9	NA Does the project design include satisfactory measures to overcome these constraints?
WB9	NA Does the project finance commercial harvesting, and if so, does it include provisions for certification system?
WB9	NA OPS_ PM_C OM P_TA BLE OP 4.09- Pest Management Does the EA adequately address the pest management issues?
WB9	Yes Are the cost and the accountabilities for the EMP incorporated in the credit/ loan?
WB9	Yes Does the Monitoring and Evaluation system of the project include the monitoring of safeguard impacts and measures related to safeguard policies?
WB9	Yes Does the credit/ loan incorporate mechanisms to mitigate the potential adverse impacts on cultural property?
WB9	Yes Have costs related to safeguard policy measures been included in the project cost?
WB9	Yes Have satisfactory implementation arrangements been agreed with the borrower and the same been adequately reflected in the project legal documents?
WB9	Yes If yes, has the PMP been reviewed and approved by a safeguards specialist or PM?
WB9	Yes If yes, then did the Regional Environment Unit or Practice Manager( PM) review and approve the EA report?
WB9	Yes If yes, then did the Regional unit responsible for safeguards or Practice Manager review the plan?
WB9	Yes Is a separate PMP required?
WB9	Yes OPS_ PCR_C OM P_TA BLE OP/ BP 4.11- Physical Cultural Resources Does the EA include adequate measures related to cultural property?
WB9	Yes OPS_F O_C OM P_TA BLE OP/ BP 4.36- Forests Has the sector- wide analysis of policy and institutional issues and constraints been carried out?
WB78	Are PMP requirements included in project design?
WB78	If yes, does the project team include a Pest Management Specialist?
WB78	NA Does the project design include satisfactory measures to overcome these constraints?
WB78	NA Does the project finance commercial harvesting, and if so, does it include provisions for certification system?
WB78	NA OPS_ PM_C OM P_TA BLE OP 4.09- Pest Management Does the EA adequately address the pest management issues?
WB78	No Have the TORs as well as composition for the independent Panel of Experts( POE) been reviewed and approved by the Bank?
WB78	No OPS_SD_ C OMP_ TABLE OP/ BP 4.37- Safety of Dams Have dam safety plans been prepared?
WB78	Yes Are the cost and the accountabilities for the EMP incorporated in the credit/ loan?
WB78	Yes Does the Monitoring and Evaluation system of the project include the monitoring of safeguard impacts and measures related to safeguard policies?
WB78	Yes Has an Emergency Preparedness Plan( EPP) been prepared and arrangements been made for public awareness and training?
WB78	Yes Have costs related to safeguard policy measures been included in the project cost?
WB78	Yes Have satisfactory implementation arrangements been agreed with the borrower and the same been adequately reflected in the project legal documents?
WB78	Yes If yes, has the PMP been reviewed and approved by a safeguards specialist or PM?
WB78	Yes If yes, then did the Regional Environment Unit or Practice Manager( PM) review and approve the EA report?
WB78	Yes If yes, then did the Regional unit responsible for safeguards or Practice Manager review the plan?
WB78	Yes Is a separate PMP required?
WB78	Yes OPS_F O_C OM P_TA BLE OP/ BP 4.36- Forests Has the sector- wide analysis of policy and institutional issues and constraints been carried out?
WB105	Are PMP requirements included in project design?
WB105	If yes, does the project team include a Pest Management Specialist?
WB105	NA Has an Emergency Preparedness Plan( EPP) been prepared and arrangements been made for public awareness and training?
WB105	NA Has the RVP approved such an exception?
WB105	NA Have the TORs as well as composition for the independent Panel of Experts( POE) been reviewed and approved by the Bank?
WB105	NA OPS_ PIW_ C OMP_ TABLE OP 7.50- Projects on International Waterways Have the other riparians been notified of the project?
WB105	NA OPS_ PM_C OM P_TA BLE OP 4.09- Pest Management Does the EA adequately address the pest management issues?
WB105	Yes Are the cost and the accountabilities for the EMP incorporated in the credit/ loan?
WB105	Yes Does the Monitoring and Evaluation system of the project include the monitoring of safeguard impacts and measures related to safeguard policies?
WB105	Yes Does the credit/ loan incorporate mechanisms to mitigate the potential adverse impacts on cultural property?
WB105	Yes Have costs related to safeguard policy measures been included in the project cost?
WB105	Yes Have satisfactory implementation arrangements been agreed with the borrower and the same been adequately reflected in the project legal documents?
WB105	Yes If yes, has the PMP been reviewed and approved by a safeguards specialist or PM?
WB105	Yes If yes, then did the Regional Environment Unit or Practice Manager( PM) review and approve the EA report?
WB105	Yes If yes, then did the Regional unit responsible for safeguards or Practice Manager review the plan?
WB105	Yes Is a separate PMP required?
WB105	Yes OPS_ PCR_C OM P_TA BLE OP/ BP 4.11- Physical Cultural Resources Does the EA include adequate measures related to cultural property?
WB105	Yes OPS_SD_ C OMP_ TABLE OP/ BP 4.37- Safety of Dams Have dam safety plans been prepared?
WB35	Are PMP requirements included in project design?
WB35	If yes, does the project team include a Pest Management Specialist?
WB35	NA Has an Emergency Preparedness Plan( EPP) been prepared and arrangements been made for public awareness and training?
WB35	NA Have the TORs as well as composition for the independent Panel of Experts( POE) been reviewed and approved by the Bank?
WB35	NA OPS_ PIW_ C OMP_ TABLE OP 7.50- Projects on International Waterways Have the other riparians been notified of the project?
WB35	Yes Are the cost and the accountabilities for the EMP incorporated in the credit/ loan?
WB35	Yes Does the Monitoring and Evaluation system of the project include the monitoring of safeguard impacts and measures related to safeguard policies?
WB35	Yes Does the credit/ loan incorporate mechanisms to mitigate the potential adverse impacts on cultural property?
WB35	Yes Has the RVP approved such an exception?
WB35	Yes Have costs related to safeguard policy measures been included in the project cost?
WB35	Yes Have satisfactory implementation arrangements been agreed with the borrower and the same been adequately reflected in the project legal documents?
WB35	Yes If yes, has the PMP been reviewed and approved by a safeguards specialist or PM?
WB35	Yes If yes, then did the Regional Environment Unit or Practice Manager( PM) review and approve the EA report?
WB35	Yes If yes, then did the Regional unit responsible for safeguards or Practice Manager review the plan?
WB35	Yes Is a separate PMP required?
WB35	Yes OPS_ PCR_C OM P_TA BLE OP/ BP 4.11- Physical Cultural Resources Does the EA include adequate measures related to cultural property?
WB35	Yes OPS_SD_ C OMP_ TABLE OP/ BP 4.37- Safety of Dams Have dam safety plans been prepared?
WB39	Are PMP requirements included in project design?
WB39	If yes, does the project team include a Pest Management Specialist?
WB39	NA Has an Emergency Preparedness Plan( EPP) been prepared and arrangements been made for public awareness and training?
WB39	NA OPS_ PIW_ C OMP_ TABLE OP 7.50- Projects on International Waterways Have the other riparians been notified of the project?
WB39	No Have the TORs as well as composition for the independent Panel of Experts( POE) been reviewed and approved by the Bank?
WB39	Yes Are the cost and the accountabilities for the EMP incorporated in the credit/ loan?
WB39	Yes Does the Monitoring and Evaluation system of the project include the monitoring of safeguard impacts and measures related to safeguard policies?
WB39	Yes Does the credit/ loan incorporate mechanisms to mitigate the potential adverse impacts on cultural property?
WB39	Yes Have costs related to safeguard policy measures been included in the project cost?
WB39	Yes Have satisfactory implementation arrangements been agreed with the borrower and the same been adequately reflected in the project legal documents?
WB39	Yes If yes, has the PMP been reviewed and approved by a safeguards specialist or PM?
WB39	Yes If yes, then did the Regional Environment Unit or Practice Manager( PM) review and approve the EA report?
WB39	Yes If yes, then did the Regional unit responsible for safeguards or Practice Manager review the plan?
WB39	Yes Is a separate PMP required?
WB39	Yes OPS_ PCR_C OM P_TABLE OP/ BP 4.11- Physical Cultural Resources Does the EA include adequate measures related to cultural property?
WB39	Yes OPS_SD_ C OMP_ TABLE OP/ BP 4.37- Safety of Dams Have dam safety plans been prepared?
WB107	?
WB107	Average growth between 2010 and 2013 was 6.2 percent?
WB107	In more marginal, more variable rainfall zones, greater emphasis will be placed on stimulating farmers?
WB107	KCSAP will address this problem under this subcomponent by financing activities related to:( a) developing? big data?
WB107	KCSAP will address this problem under this subcomponent by financing activities related to:( a) developing? big data?
WB107	The Center for Global Development ranks Kenya 13th out of 233 countries globally for? direct risks?
WB107	The Center for Global Development ranks Kenya 13th out of 233 countries globally for? direct risks?
WB107	The project will thus support the development of new management practices and institutional arrangements that can secure pastoralists?
WB107	The proposed KCSAP aims at fulfilling two priority domains of the CPS:( i) Domain 2?
WB107	This component will have two subcomponents?
WB107	This trend, coupled with Kenya?
WB107	and 71st out of 233 for? overall vulnerability?
WB107	and 71st out of 233 for? overall vulnerability?
WB107	due to? extreme weather?
WB107	due to? extreme weather?
WB60	Are PMP requirements included in project design?
WB60	If yes, does the project team include a Pest Management Specialist?
WB60	NA Does the project design include satisfactory measures to overcome these constraints?
WB60	NA Does the project finance commercial harvesting, and if so, does it include provisions for certification system?
WB60	NA If yes, then did the Regional unit responsible for safeguards or Practice Manager review the plan?
WB60	OPS_F O_C OM P_TA BLE OP/ BP 4.36- Forests Has the sector- wide analysis of policy and institutional issues and constraints been carried out?
WB60	Yes Does the Monitoring and Evaluation system of the project include the monitoring of safeguard impacts and measures related to safeguard policies?
WB60	Yes Does the credit/ loan incorporate mechanisms to mitigate the potential adverse impacts on cultural property?
WB60	Yes Has the RVP approved such an exception?
WB60	Yes Have costs related to safeguard policy measures been included in the project cost?
WB60	Yes Have satisfactory implementation arrangements been agreed with the borrower and the same been adequately reflected in the project legal documents?
WB60	Yes If yes, has the PMP been reviewed and approved by a safeguards specialist or PM?
WB60	Yes If yes, then did the Regional unit responsible for safeguards or Practice Manager review the plan?
WB60	Yes Is a separate PMP required?
WB60	Yes OPS_ PCR_C OM P_TA BLE OP/ BP 4.11- Physical Cultural Resources Does the EA include adequate measures related to cultural property?
WB49	Are PMP requirements included in project design?If yes, does the project team include a Pest Management Specialist?
WB49	Provided estimated number of people to be affected Is economic displacement expected?
WB49	Safeguard Policies that might apply Safeguard Policies Triggered?
WB49	Yes[] No[] NA[] Are the cost and the accountabilities for the EMP incorporated in the credit/ loan?
WB49	Yes[] No[] NA[] Does the credit/ loan incorporate mechanisms to mitigate the potential adverse impacts on cultural property?
WB49	Yes[] No[] NA[] Does the project design include satisfactory measures to overcome these constraints?
WB49	Yes[] No[] NA[] Does the project finance commercial harvesting, and if so, does it include provisions for certification system?
WB49	Yes[] No[] NA[] Has the RVP approved such an exception?
WB49	Yes[] No[] NA[] Have costs related to safeguard policy measures been included in the project cost?
WB49	Yes[] No[] NA[] If yes, has the PMP been reviewed and approved by a safeguards specialist or PM?
WB49	Yes[] No[] NA[] If yes, then did the Regional Environment Unit or Practice Manager( PM) review and approve the EA report?
WB49	Yes[] No[] NA[] If yes, then did the Regional unit responsible for safeguards or Practice Manager review the plan?
WB49	Yes[] No[] NA[] If yes, then did the Regional unit responsible for safeguards or Practice Manager review the plan?
WB49	Yes[] No[] NA[] Is a separate PMP required?
WB49	Yes[] No[] NA[] OP 4.09- Pest Management Does the EA adequately address the pest management issues?
WB49	Yes[] No[] NA[] OP 7.50- Projects on International Waterways Have the other riparians been notified of the project?
WB49	Yes[] No[] NA[] OP/ BP 4.04- Natural Habitats Would the project result in any significant conversion or degradation of critical natural habitats?
WB49	Yes[] No[] NA[] OP/ BP 4.11- Physical Cultural Resources Does the EA include adequate measures related to cultural property?
WB49	Yes[] No[] NA[] The World Bank Policy on Disclosure of Information Have relevant safeguard policies documents been sent to the World Bank''s Infoshop?
WB49	Yes[] No[] NA[] Yes[] No[] TBD[] Page 12 of 13 Is physical displacement/ relocation expected?
WB59	Are PMP requirements included in project design?If yes, does the project team include a Pest Management Specialist?
WB59	Provided estimated number of people to be affected Yes[] No[] TBD[] Is economic displacement expected?
WB59	Safeguard Policies that might apply Safeguard Policies Triggered?
WB59	Yes[] No[] NA[] Are the cost and the accountabilities for the EMP incorporated in the credit/ loan?
WB59	Yes[] No[] NA[] Does the credit/ loan incorporate mechanisms to mitigate the potential adverse impacts on cultural property?
WB59	Yes[] No[] NA[] Does the project design include satisfactory measures to overcome these constraints?
WB59	Yes[] No[] NA[] Does the project finance commercial harvesting, and if so, does it include provisions for certification system?
WB59	Yes[] No[] NA[] Has an Emergency Preparedness Plan( EPP) been prepared and arrangements been made for public awareness and training?
WB59	Yes[] No[] NA[] Has the RVP approved such an exception?
WB59	Yes[] No[] NA[] Have costs related to safeguard policy measures been included in the project cost?
WB59	Yes[] No[] NA[] Have the TORs as well as composition for the independent Panel of Experts( POE) been reviewed and approved by the Bank?
WB59	Yes[] No[] NA[] If yes, has the PMP been reviewed and approved by a safeguards specialist or PM?
WB59	Yes[] No[] NA[] If yes, then did the Regional Environment Unit or Practice Manager( PM) review and approve the EA report?
WB59	Yes[] No[] NA[] If yes, then did the Regional unit responsible for safeguards or Practice Manager review the plan?
WB59	Yes[] No[] NA[] If yes, then did the Regional unit responsible for safeguards or Practice Manager review the plan?
WB59	Yes[] No[] NA[] Is a separate PMP required?
WB59	Yes[] No[] NA[] Is physical displacement/ relocation expected?
WB59	Yes[] No[] NA[] OP 4.09- Pest Management Does the EA adequately address the pest management issues?
WB59	Yes[] No[] NA[] OP 7.50- Projects on International Waterways Have the other riparians been notified of the project?
WB59	Yes[] No[] NA[] OP/ BP 4.04- Natural Habitats Would the project result in any significant conversion or degradation of critical natural habitats?
WB59	Yes[] No[] NA[] OP/ BP 4.11- Physical Cultural Resources Does the EA include adequate measures related to cultural property?
WB59	Yes[] No[] NA[] OP/ BP 4.37- Safety of Dams Have dam safety plans been prepared?
AF36	"#$,-(.3 01?3 2?1..? 4 4?
AF36	"#$,-(.3 01?3 2?1..? 4 4?
AF36	"#$,-(.3.4?
AF36	%%%%%% K#O6= W$"F%KO\668%%Q%%%567$8-(.1 40?
AF36	( 0?1-?1(? 2 96:;8$7<6=%]%.3%F#$">%%&C,-(./.2?
AF36	( 0?1-?1(? 2 96:;8$7<6=%]%.3%F#$">%%&C,-(./.2?
AF36	( 2(?/ 96:;8$7<6=%E#=><7F%&:#"%)*+,-(./ 10.?-@(?0/2?3-3?
AF36	( 2-?/ 40?4 9"#U$8#=O#%6D%>7;=W<=Y VVV-(?2./?
AF36	( 2@?.
AF36	( 3.?
AF36	( 9#"O#=7$Y#%6D%GE9%K:#=7%6=%`W;O$7<6=-(./ 3?.
AF36	( H;">#>%$=W%*<W[<U#>%&:#"%.((?
AF36	( J\<8W%I**;=<e$7<6=%!Y$<=>7%a#$>8#>%&C,-(.1 4-?
AF36	( M$B6"%N6"O#%9$"7< O<:$7<6=%PPQ%N#*$8#%&C,-(./@1?
AF36	( M< D#%`R:#O7$=OF%$7%Z<"7\%Q%567$8%&F#$">,-(.//@?4 1.?- 12?4/4?.
AF36	( VVV A= W#"[#<Y\7%J\<8W"#=%&C%6D%O\<8W"#=%;=W#"%3%F#$">, VVV/1?
AF36	( VVV-": 05$#3;'',2947'',#(0$) 96:;8$7<6=%G"6[7\%S$7#%%%Q%567$8%&C,-(./(? 0-?1.
AF36	( b6*#=%A><=Y%J6=7"$O#:7<6=%&C,-(./ 13?2 03?0 1-?.
AF36	(! OO#>>%76%K$=<7$7<6=%&C%6D%96:;8$7<6=,-(.3 40?.
AF36	((% D#*$8#,-(./ 4/?0(? 2(.
AF36	(((%:# 6:8#,-(.3 00@?/.00?
AF36	(((%:# 6:8#,-(.3-((?0@1?4.. 2?.
AF36	(((,-(.//?4 4?0/?/ 2?2 I= D$=7%a6"7$8<7F%S$7#%&:#"%.?
AF36	(((,-(.1--?
AF36	(((,-(.1.-?- 3-?- 03?- 3?2 J\<8W%a6"7$8<7F%S$7#%&:#"%.?
AF36	(((,-(.1.0?//3?3@/?0 1?2 567$8%N#"7<8<7F%S$7#%&:#"%[6*$=,-(./.?
AF36	(((,-(.3 30?
AF36	((? 4 9"#U$8#=O#%6D%;=W#"=6;"<>\*#=7%&C%6D%:6: V,-(.3 3?--%1-.
AF36	((?-%%%%%% K#O6= W$"F%KO\668%%Q%%%N#*$8#-(.1 41?
AF36	((?-%%%%%% K#O6= W$"F%KO\668%%Q%%%N#*$8#-(.1 41?
AF36	(--?
AF36	(--?
AF36	(-0?0-2?
AF36	(-2?0./?0 96:;8$7<6=%.3Q-@%F#$">%&C,-(./.3?1 0?3 1?-.1?
AF36	(-3?2-0?
AF36	(-?2 4/?
AF36	(-?3.(1?
AF36	(-@3?4.@4?
AF36	(..? 1 J";W#%E#$7\%S$7#%&:#"%.?
AF36	(..? 1 J";W#%E#$7\%S$7#%&:#"%.?
AF36	(/?1.(.?.
AF36	(? 2 0@?2-.?
AF36	(? 2 0@?2-.?
AF36	(? 3 2(?.
AF36	(? 3 2(?.
AF36	(@..?0-0(?
AF36	/?0? 7&,#(''042947'',#(0$)% G"6>>%`="68*#=7%S$7<6%&C,%%%%%% 9"<*$"F%KO\668%%%%%%%Q%%%567$8-(.1.
AF36	0(2?
AF36	0?
AF36	2.?1! W;87%8<7#"$OF%S$7#%Q%567$8%&C,-(.3 4-?/ 1.?2 2(?
AF36	3.?0 3/ 14 9#"O#=7V%6D%!W;87>%&$Y#W%.3Q@4,%M< U<= Y%[<7\%TIcd!IEK-(.1 04?
AF36	32?.
AF36	3?0@?0 3?3? 4.
AF36	3@?1 3(?3 E#:#=W#=OF%S$7<6%&C,-(./@(?3.((?.
AF36	4(?
AF36	44?
AF36	? 0%%%%%% 9"<*$"F%KO\668%%%%%%%Q%%%N#*$8#-(.1.(0?
AF36	? 0%%%%%% 9"<*$"F%KO\668%%%%%%%Q%%%N#*$8#-(.1.(0?
AF36	? 0(? 1 96:;8$7<6=%G"6[7\%S$7#%%%Q%A"B$=%&C,-(./(?
AF36	? 0(? 1 96:;8$7<6=%G"6[7\%S$7#%%%Q%A"B$=%&C,-(./(?
AF36	? 0(? 1 96:;8$7<6=%G"6[7\%S$7#%%%Q%A"B$=%&C,-(./(?
AF36	? 0.%.2@?3 3%4@3?
AF36	? 0.%.2@?3 3%4@3?
AF36	? 1 24?.
AF36	? 1 24?.
AF36	? 3 A"B$=%96:;8$7<6=%&C%6D%567$8,-(./ 02?2 04?/@/?
AF36	? 3 A"B$=%96:;8$7<6=%&C%6D%567$8,-(./ 02?2 04?/@/?
AF36	? 4@0?-@0?
AF36	? 4@0?-@0?
AF36	?- VVV J\<8W%I**;=<e$7<6=%!Y$<=>7%5;B#"O;86><>%&C,-(.1 42?
AF36	?- VVV J\<8W%I**;=<e$7<6=%!Y$<=>7%5;B#"O;86><>%&C,-(.1 42?
AF36	?/ a$7#"=$8%a6"7$8<7F%S$7#%&:#"%.((?
AF36	?/ a$7#"=$8%a6"7$8<7F%S$7#%&:#"%.((?
AF36	@ 0(?
AF36	@ 0?
AF36	@ 1(?2 41?0 I= O< W#=O#%6D%5;B#"O;86><>%&:#"%.((?
AF36	@ 1-?1/(?2 2-?.
AF36	@ 1/?/ 44?4 9"<*$"F%KO\668%N#*$8#%5#$O\<=Y%K7$DD%&C%6D%567$8,-(.1/1?3@3?.
AF36	@ 31?3 30?
AF36	@ 3@?1 14?
AF36	@ 44?-! W;87%8<7#"$OF%S$7#%Q%a$8#%&C,-(.3 4@?4/(?/ 23?4 44?0! W;87%8<7#"$OF%S$7#%Q%N#*$8#%&C,-(.3 4(?/ 30?
AF36	@ GHI%:#"%J$:<7$%&AK%L,-(.1 4%//(-%(@3@%--1 02%0./ M$B6"%N6"O#%9$"7< O<:$7<6=%PQ%567$8%&C,-(./ 34?4 11?0 1/?//-?
AF36	@ N#*$8#%96:;8$7<6=%.3Q@4%F#$">%&C%6D%767$8%:6:;8$7<6=,-(./-3?2-@?
AF36	@-(-?4 23/?
AF36	@-?
AF36	@-?/ 0?.
AF36	@.(4?
AF36	@.?.
AF36	@/3?- 44?
AF36	@@.?
AF36	J";W#%Z<"7\%S$7#%&:#"%.?
AF36	M< D#%`R:#O7$=OF%$7%Z<"7\%Q%N#*$8#%&F#$">,-(.//2?
AF36	VVV<"#/(;2=2>&($''(''042947'',#(0$) 9\F><O<$=>%&:#"%.((?
